date,infections
2020-02-04,9
2020-02-05,8
2020-02-06,8
2020-02-07,9
2020-02-08,9
2020-02-09,8
2020-02-10,8
2020-02-11,6
2020-02-12,7
2020-02-13,7
2020-02-14,9
2020-02-15,8
2020-02-16,7
2020-02-17,6
2020-02-18,6
2020-02-19,4
2020-02-20,4
2020-02-21,4
2020-02-22,19
2020-02-23,20
2020-02-24,20
2020-02-25,35
2020-02-26,35
2020-02-27,39
2020-02-28,39
2020-02-29,39
2020-03-01,39
2020-03-02,39
2020-03-03,41
2020-03-04,77
2020-03-05,94
2020-03-06,110
2020-03-07,163
2020-03-08,147
2020-03-09,146
2020-03-10,358
2020-03-11,526
2020-03-12,526
2020-03-13,759
2020-03-14,986
2020-03-15,1323
2020-03-16,1352
2020-03-17,1352
2020-03-18,2841
2020-03-19,5710
2020-03-20,8438
2020-03-21,12330
2020-03-22,12277
2020-03-23,12277
2020-03-24,25658
2020-03-25,42089
2020-03-26,41906
2020-03-27,55341
2020-03-28,55103
2020-03-29,68698
2020-03-30,83162
2020-03-31,98950
2020-04-01,113667
2020-04-02,130633
2020-04-03,147449
2020-04-04,166221
2020-04-05,185306
2020-04-06,211574
2020-04-07,238991
2020-04-08,247286
2020-04-09,254788
2020-04-10,280732
2020-04-11,292545
2020-04-12,321497
2020-04-13,333534
2020-04-14,344613
2020-04-15,352775
2020-04-16,358059
2020-04-17,360713
2020-04-18,364483
2020-04-19,369597
2020-04-20,371168
2020-04-21,368015
2020-04-22,363235
2020-04-23,362532
2020-04-24,358039
2020-04-25,355926
2020-04-26,355812
2020-04-27,358367
2020-04-28,359031
2020-04-29,357055
2020-04-30,351519
2020-05-01,348305
2020-05-02,352868
2020-05-03,355374
2020-05-04,350632
2020-05-05,352118
2020-05-06,352948
2020-05-07,343566
2020-05-08,340811
2020-05-09,339256
2020-05-10,340137
2020-05-11,336169
2020-05-12,326460
2020-05-13,319383
2020-05-14,310240
2020-05-15,309326
2020-05-16,309590
2020-05-17,306081
2020-05-18,298749
2020-05-19,303015
2020-05-20,287787
2020-05-21,283820
2020-05-22,289637
2020-05-23,290063
2020-05-24,288718
2020-05-25,283766
2020-05-26,284002
2020-05-27,274684
2020-05-28,275599
2020-05-29,274223
2020-05-30,272735
2020-05-31,273041
2020-06-01,265572
2020-06-02,266120
2020-06-03,261333
2020-06-04,262532
2020-06-05,262919
2020-06-06,255779
2020-06-07,253555
2020-06-08,260466
2020-06-09,264366
2020-06-10,257567
2020-06-11,259435
2020-06-12,253175
2020-06-13,256409
2020-06-14,258159
2020-06-15,258911
2020-06-16,264926
2020-06-17,263512
2020-06-18,257292
2020-06-19,268115
2020-06-20,266682
2020-06-21,273606
2020-06-22,287145
2020-06-23,289949
2020-06-24,288850
2020-06-25,295944
2020-06-26,309570
2020-06-27,326233
2020-06-28,342770
2020-06-29,361354
2020-06-30,379720
2020-07-01,392561
2020-07-02,404018
2020-07-03,424507
2020-07-04,446067
2020-07-05,470673
2020-07-06,494308
2020-07-07,511138
2020-07-08,520414
2020-07-09,535648
2020-07-10,555075
2020-07-11,579980
2020-07-12,597468
2020-07-13,618540
2020-07-14,633194
2020-07-15,645902
2020-07-16,660394
2020-07-17,680811
2020-07-18,700127
2020-07-19,714210
2020-07-20,731507
2020-07-21,743804
2020-07-22,748387
2020-07-23,759506
2020-07-24,773198
2020-07-25,789053
2020-07-26,794849
2020-07-27,807335
2020-07-28,805442
2020-07-29,804730
